# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=2.08685e-07 to 53.857 h/Mpc,
# number of wavenumbers equal to 6836
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_m                   10:d_tot                 11:phi                   12:psi                
       2.086848393668e-07      -5.268993205429e-07      -3.951745732053e-07      -3.951745732092e-07      -5.268993180038e-07      -3.958194977996e-07      -3.951937301589e-07      -3.948983737543e-07      -3.951883213170e-07      -3.952022478559e-07       4.715053597354e-01       4.713974127310e-01 
       8.585522170188e-07      -8.918212473630e-06      -6.688683075683e-06      -6.688683076798e-06      -8.918211746219e-06      -6.699597291256e-06      -6.689007212417e-06      -6.684008147477e-06      -6.688915773979e-06      -6.689151486829e-06       4.715053547250e-01       4.713974082318e-01 
       1.508423680087e-06      -2.752883597732e-05      -2.064685300366e-05      -2.064685301427e-05      -2.752882904619e-05      -2.068053166642e-05      -2.064785279421e-05      -2.063242223974e-05      -2.064757129921e-05      -2.064829886263e-05       4.715053436125e-01       4.713973982533e-01 
       2.158303668725e-06      -5.635873953861e-05      -4.227000198698e-05      -4.227000203149e-05      -5.635871048789e-05      -4.233891469527e-05      -4.227204641529e-05      -4.224045797487e-05      -4.227147252588e-05      -4.227296191961e-05       4.715053263979e-01       4.713973827952e-01 
       2.808196623248e-06      -9.540792232423e-05      -7.155865667805e-05      -7.155865680559e-05      -9.540783906900e-05      -7.167523349113e-05      -7.156211211133e-05      -7.150864150772e-05      -7.156114610604e-05      -7.156366718008e-05       4.715053030806e-01       4.713973618572e-01 
       3.458106984231e-06      -1.446764129236e-04      -1.085135527761e-04      -1.085135530693e-04      -1.446762214766e-04      -1.086901702281e-04      -1.085187820378e-04      -1.084377078479e-04      -1.085173277392e-04      -1.085211501686e-04       4.715052736602e-01       4.713973354387e-01 
       4.108039192610e-06      -2.041642692988e-04      -1.531356350619e-04      -1.531356356460e-04      -2.041638880354e-04      -1.533846021692e-04      -1.531429965047e-04      -1.530286008949e-04      -1.531409622072e-04      -1.531463554469e-04       4.715052381360e-01       4.713973035392e-01 
       4.757997689786e-06      -2.738715787220e-04      -2.054260574439e-04      -2.054260584949e-04      -2.738708926428e-04      -2.057596017037e-04      -2.054359040210e-04      -2.052824734830e-04      -2.054332034200e-04      -2.054404366594e-04       4.715051965072e-01       4.713972661579e-01 
       5.407986917723e-06      -3.537984576999e-04      -2.653861830139e-04      -2.653861847680e-04      -3.537973126906e-04      -2.658164363930e-04      -2.653988613509e-04      -2.652006874384e-04      -2.653954144717e-04      -2.654047565895e-04       4.715051487729e-01       4.713972232940e-01 
       6.058011319050e-06      -4.439450518851e-04      -3.330175841144e-04      -3.330175868766e-04      -4.439432489729e-04      -3.335565690250e-04      -3.330334335796e-04      -3.327848136454e-04      -3.330291677078e-04      -3.330408872266e-04       4.715050949319e-01       4.713971749462e-01 
